Gebruikers;;;;;;;;;;
;;;;;;;;;;
Afbeelding;Login;Voornaam;Achternaam;M/V;E-mail;Straat;Nr;Woonplaats;Postcode;Rating (0..5)
lender_1.jpg;martijn;Martijn;Schrage;M;martijn@oblomov.com;Kerkstraat;15;Utrecht;3581 RA;5
lender_2.jpg;Henny;Henny;Verweij;m;Henny@gmail.com;Franz Schubertstraat;39;Utrecht;3533 GT;5
lender_3.jpg;Jaap;Jaap;Lageman;m;jaap@bpcutrecht.nl;Kerkstraat;17;Utrecht;3581 RA;5
lender_4.jpg;Hans;Hans;Pietersen;m;Hans@Gmail.com;traay;18;Driebergen;;
lender_5.jpg;Frans;Frans;Verbeek;m;Frans@Gmail.com;slotlaan;19;Zeist;;
lender_6.jpg;Frits;Frits;Spits;m;Frits@gmail.com;;;Zeist;;
lender_7.jpg;Piet;Piet;Paaltjes;m;Piet@gmail.com;;;Zeist;;
lender_8.jpg;Xander;Xander;de Bouvier;m;Xander@gmail.com;;;Zeist;;
lender_9.jpg;Truus;Truus;Hanekam;v;Truus@gmail.com;;;Amsterdam;;
lender_10.jpg;Anita;Anita;Burgemeester;v;Anita@gmail.com;;;Amsterdam;;
lender_11.jpg;Hanneke;Hanneke;Rock;v;Hanneke@gmail.com;;;Amsterdam;;
lender_12.jpg;Irene;Irene;Rood;v;Irene@gmail.com;;;Amsterdam;;
lender_13.jpg;Carla;Carla;Baars;v;Carla@gmail.com;;;Hilversum;;
lender_14.jpg;Karin;Karin;Snoek;v;Karin@gmail.com;;;Hilversum;;
lender_15.jpg;Jessie;Jessie;Smid;v;Jessie@gmail.com;;;Hilversum;;
lender_16.jpg;Matt;Matt;Jansen;m;Matt@gmail.com;kennedylaan;17;Utrecht;;
lender_17.jpg;;;;;;;;;;
lender_18.jpg;;;;;;;;;;
lender_19.jpg;;;;;;;;;;
lender_20.jpg;;;;;;;;;;
;;;;;;;;;;
