Gebruikers;;;;;;;;;;;
;;;;;;;;;;;
Afbeelding;Login;Voornaam;Achternaam;M/V;E-mail;Straat;Nr;Woonplaats;Postcode;Rating (0..5);Puntenbalans
lender_1.jpg;martijn;Martijn;Schrage;m;martijn@oblomov.com;Kerkstraat;15;Utrecht;;5;18
lender_2.jpg;tommy;Tommy;Dijkman;m;tommy@cheapmail.com;Tulpstraat;21;Utrecht;;5;312
lender_3.jpg;peter;Peter;Houtman;m;peter@sosomail.com;Biltstraat;42;Utrecht;;5;238
lender_4.jpg;karel;Karel;Vos;m;karel@cheapmail.com;;18;;;;32
lender_5.jpg;freek;Freek;Dekker;m;freek@sosomail.com;;19;;;;12
lender_6.jpg;johan;Johan;Bosma;m;johan@supermail.com;;;;;;10
lender_7.jpg;diego;Diego;Meijers;m;diego@supermail.com;;;;;;2
lender_8.jpg;bart;Bart;Vermeulen;m;bart@supermail.com;;;;;;0
lender_9.jpg;linda;Linda;Goedhart;v;linda@supermail.com;;;;;;44
lender_10.jpg;sanne;Sanne;Jaspers;v;sanne@sosomail.com;;;;;;12
lender_11.jpg;petra;Petra;Visser;v;petra@sosomail.com;;;;;;93
lender_12.jpg;vera;Vera;Rietveld;v;vera@sosomail.com;;;;;;174
lender_13.jpg;kirsten;Kirsten;Veldkamp;v;kirsten@sosomail.com;;;;;;23
lender_14.jpg;lana;Lana;Schepers;v;lana@cheapmail.com;;;;;;8
lender_15.jpg;estjer;Esther;de Wit;v;estjer@cheapmail.com;;;;;;12
lender_16.jpg;fiona;Fiona;Koch;m;fiona@cheapmail.com;;;;;;15
lender_17.jpg;;;;;;;;;;;
lender_18.jpg;;;;;;;;;;;
lender_19.jpg;;;;;;;;;;;
lender_20.jpg;;;;;;;;;;;
